,main_cat,cat,sub-cat,full_sub_cat_link
54,Outlet,bags,holdalls,https://remixshop.com/bg/outlet/bags/holdalls
55,Outlet,accessories,belts,https://remixshop.com/bg/outlet/accessories/belts
56,Outlet,accessories,glasses,https://remixshop.com/bg/outlet/accessories/glasses
57,Outlet,accessories,gloves,https://remixshop.com/bg/outlet/accessories/gloves
58,Outlet,accessories,watches,https://remixshop.com/bg/outlet/accessories/watches
59,Outlet,accessories,scarfs,https://remixshop.com/bg/outlet/accessories/scarfs
60,Outlet,accessories,hats,https://remixshop.com/bg/outlet/accessories/hats
61,Outlet,shoes,womens-shoes,https://remixshop.com/bg/outlet/shoes/womens-shoes
62,Outlet,shoes,kids-shoes,https://remixshop.com/bg/outlet/shoes/kids-shoes
63,Outlet,shoes,mens-shoes,https://remixshop.com/bg/outlet/shoes/mens-shoes
64,Outlet,child-clothes,swimwear,https://remixshop.com/bg/outlet/child-clothes/swimwear
65,Outlet,child-clothes,underwear,https://remixshop.com/bg/outlet/child-clothes/underwear
66,Outlet,child-clothes,tops,https://remixshop.com/bg/outlet/child-clothes/tops
67,Outlet,child-clothes,outerwear,https://remixshop.com/bg/outlet/child-clothes/outerwear
68,Outlet,child-clothes,jumpsuits,https://remixshop.com/bg/outlet/child-clothes/jumpsuits
69,Outlet,child-clothes,jeans,https://remixshop.com/bg/outlet/child-clothes/jeans
70,Outlet,child-clothes,vests,https://remixshop.com/bg/outlet/child-clothes/vests
71,Outlet,child-clothes,cardigans,https://remixshop.com/bg/outlet/child-clothes/cardigans
72,Outlet,child-clothes,sets,https://remixshop.com/bg/outlet/child-clothes/sets
73,Outlet,child-clothes,shorts,https://remixshop.com/bg/outlet/child-clothes/shorts
74,Outlet,child-clothes,trousers,https://remixshop.com/bg/outlet/child-clothes/trousers
75,Outlet,child-clothes,skirts-and-dresses,https://remixshop.com/bg/outlet/child-clothes/skirts-and-dresses
76,Outlet,child-clothes,sweaters,https://remixshop.com/bg/outlet/child-clothes/sweaters
77,Outlet,child-clothes,shirts,https://remixshop.com/bg/outlet/child-clothes/shirts
78,Outlet,child-clothes,sports-clothing,https://remixshop.com/bg/outlet/child-clothes/sports-clothing
79,Outlet,child-clothes,sweatshirts,https://remixshop.com/bg/outlet/child-clothes/sweatshirts
80,Outlet,child-clothes,t-shirts,https://remixshop.com/bg/outlet/child-clothes/t-shirts
81,Outlet,child-clothes,top,https://remixshop.com/bg/outlet/child-clothes/top
82,Outlet,child-clothes,tunics,https://remixshop.com/bg/outlet/child-clothes/tunics
83,Outlet,child-clothes,socks-and-tights,https://remixshop.com/bg/outlet/child-clothes/socks-and-tights
0,Second Hand,womens-clothes,sweatpants,https://remixshop.com/bg/secondhand/womens-clothes/sweatpants
1,Second Hand,womens-clothes,swimwear,https://remixshop.com/bg/secondhand/womens-clothes/swimwear
2,Second Hand,womens-clothes,underwear,https://remixshop.com/bg/secondhand/womens-clothes/underwear
3,Second Hand,womens-clothes,tops,https://remixshop.com/bg/secondhand/womens-clothes/tops
4,Second Hand,womens-clothes,boleros-and-ponchos,https://remixshop.com/bg/secondhand/womens-clothes/boleros-and-ponchos
5,Second Hand,womens-clothes,jumpsuits,https://remixshop.com/bg/secondhand/womens-clothes/jumpsuits
6,Second Hand,womens-clothes,jeans,https://remixshop.com/bg/secondhand/womens-clothes/jeans
7,Second Hand,womens-clothes,vests,https://remixshop.com/bg/secondhand/womens-clothes/vests
8,Second Hand,womens-clothes,cardigans,https://remixshop.com/bg/secondhand/womens-clothes/cardigans
9,Second Hand,womens-clothes,leggings,https://remixshop.com/bg/secondhand/womens-clothes/leggings
10,Second Hand,womens-clothes,leather-jackets,https://remixshop.com/bg/secondhand/womens-clothes/leather-jackets
11,Second Hand,womens-clothes,suits,https://remixshop.com/bg/secondhand/womens-clothes/suits
