,Марка,Размер,Цвят,Материя,Цена,link
109,Qed London,13-14y, Бял," 50% памук, 50% акрил","4,62 лв.",https://remixshop.com/bg/child-clothes-cardigans-qed-london-pr17811884.html
110,C&A,13-14y, Златист," 73% памук, 17% полиестер","3,28 лв.",https://remixshop.com/bg/child-clothes-cardigans-c-and-a-pr17808766.html
111,Dognose,15-18y, Черен, Памук,"10,57 лв.",https://remixshop.com/bg/child-clothes-cardigans-dognose-pr17721296.html
112,Детска жилетка,13-14y, Черен,,"12,24 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr17708620.html
113,Kylie,12-13y, Сив, 100% вискоза,"5,72 лв.",https://remixshop.com/bg/child-clothes-cardigans-kylie-pr17521012.html
114,Monsoon,Sy, Екрю," 32% вълна, 24% полиамид, 24% мохер, 11% метални нишки, 9% полиестер","5,83 лв.",https://remixshop.com/bg/child-clothes-cardigans-monsoon-pr9796077.html
115,Детска жилетка,15-18y, Кафяв," 67% полиакрил, 33% полиамид","3,09 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr17309940.html
116,H&M,14-15y, Сив," 80% акрил, 20% мохер","5,71 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr17264190.html
117,H&M,14-15y, Сив," 80% акрил, 20% мохер","6,74 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr13419589.html
118,Yigga,10-11y, Бял, Полиестер,"3,15 лв.",https://remixshop.com/bg/child-clothes-cardigans-yigga-pr17261910.html
119,Justice,15-18y, Екрю," 55% акрил, 45% полиамид","3,02 лв.",https://remixshop.com/bg/child-clothes-cardigans-vests-justice-pr17061894.html
120,H&M L.o.g.g,14-15y, Черен, 100% полиестер,"3,14 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-l.o.g.g-pr16573337.html
121,H&M L.o.g.g,11-12y, Сив, Полиестер,"3,15 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-l.o.g.g-pr16465146.html
122,H&M,12-13y, Син, Вискоза,"3,15 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr16452642.html
123,H&M,12-13y, Многоцветен,,"3,08 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr16442094.html
124,H&M,12-13y, Многоцветен, Полиестер,"3,22 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr16144961.html
125,Yd,10-11y, Бял, Полиестер,"3,08 лв.",https://remixshop.com/bg/child-clothes-cardigans-yd-pr16144806.html
126,Детско болеро,3-4y, Розов,,"3,00 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr15978926.html
127,Детска жилетка,11-12y, Лилав,,"4,80 лв.",https://remixshop.com/bg/child-clothes-cardigans-pr13963049.html
128,Wonder Nation,13-14y, Лилав, Полиестер,"3,15 лв.",https://remixshop.com/bg/child-clothes-cardigans-wonder-nation-pr15706538.html
129,H&M,11-12y, Многоцветен, 100% памук,"6,24 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr12695266.html
130,Y.F.K.,11-12y, Червен, Полиакрил,"8,80 лв.",https://remixshop.com/bg/child-clothes-cardigans-y.f.k.-pr11313777.html
131,H&M,14-15y, Син, Вискоза,"6,20 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr10963465.html
132,H&M L.o.g.g,12-13y, Многоцветен, 100% полиестер,"8,00 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-l.o.g.g-pr10750182.html
133,Yigga,13-14y, Черен," 44% памук, 44% полиакрил, 12% метални нишки","6,20 лв.",https://remixshop.com/bg/child-clothes-cardigans-yigga-pr10710412.html
